Seed set to 42
 Trace:0.17192497849464417, lambda: 9.171924591064453
 Trace:0.17218099534511566, lambda: 8.34410572052002
 Trace:0.17243751883506775, lambda: 7.516543388366699
 Trace:0.17269453406333923, lambda: 6.68923807144165
 Trace:0.17295202612876892, lambda: 5.862190246582031
 Trace:0.1732100397348404, lambda: 5.035400390625
 Trace:0.17346855998039246, lambda: 4.208868980407715
 Trace:0.17372755706310272, lambda: 3.382596492767334
 Trace:0.17398706078529358, lambda: 2.5565834045410156
 Trace:0.17424707114696503, lambda: 1.730830430984497
