Seed set to 42
 Trace:0.17192497849464417, lambda: 9.917192459106445
 Trace:0.171950563788414, lambda: 9.83438777923584
 Trace:0.17197614908218384, lambda: 9.751585006713867
 Trace:0.17200171947479248, lambda: 9.668785095214844
 Trace:0.17202730476856232, lambda: 9.58598804473877
 Trace:0.17205290496349335, lambda: 9.503192901611328
 Trace:0.17207853496074677, lambda: 9.420400619506836
 Trace:0.1721041053533554, lambda: 9.337611198425293
 Trace:0.17212973535060883, lambda: 9.2548246383667
 Trace:0.17215532064437866, lambda: 9.172039985656738
