Seed set to 42
 Trace:0.14718277752399445, lambda: 99.14718627929688
 Trace:0.14739137887954712, lambda: 98.2945785522461
 Trace:0.14760041236877441, lambda: 97.44217681884766
 Trace:0.14780983328819275, lambda: 96.5899887084961
 Trace:0.14801962673664093, lambda: 95.73800659179688
 Trace:0.14822985231876373, lambda: 94.88623809814453
 Trace:0.14844045042991638, lambda: 94.03467559814453
 Trace:0.14865145087242126, lambda: 93.1833267211914
 Trace:0.14886285364627838, lambda: 92.33219146728516
 Trace:0.14907464385032654, lambda: 91.48126983642578
